,Unnamed: 0,name,reviews,sentiment,feedback1,feedback2,feedback3,pos_keywords,neg_keywords
0,0,Meenal Kedare,"I went there for dinner. Food is very delicious....If you are a crab lover then visit here.....tawa surmai, chicken bhat nd Crab was so yummy nd price is also reasonable.",POSITIVE,The customer went there for dinner.,The food is very delicious.,"The tawa surmai, chicken bhat, and crab was so yummy.",['food delicious'],
1,1,Kshitij Sabale,"Surmai Thali is best priced and worth it, the solkadhi is awesome as well",POSITIVE,The Surmai Thali is best priced.,The solkadhi is awesome.,It is worth it.,"['thali best priced', 'surmai thali best', 'thali best', 'best priced', 'solkadhi awesome']",
2,2,superstar nikhyl,Sea food restaurant with bar. Authentic malvani cuisine. Food quality and taste is good.,POSITIVE,The restaurant serves authentic malvani cuisine.,The food quality is good.,The taste of the food is good.,"['authentic malvani cuisine', 'serves authentic malvani', 'authentic malvani', 'restaurant serves authentic', 'serves authentic']",
3,3,Shweta Amberkar,Good test,POSITIVE,The reviewer gives a positive assessment.,The test is described as good.,The reviewer's opinion is optimistic.,"['reviewer gives positive', 'gives positive assessment', 'positive assessment', 'gives positive', 'test described good']",
4,4,Jitesh Nimse,Very Good Test of Veg.,POSITIVE,The veggie dish is very good.,The test is a success.,The veggie dish is a success.,"['veggie dish good', 'dish good', 'test success', 'veggie dish success', 'dish success']",
5,5,hema Naula,Loved it,POSITIVE,The customer loved the experience.,The customer enjoyed the atmosphere.,The customer appreciated the service.,"['customer loved experience', 'customer loved', 'loved experience', 'customer enjoyed atmosphere', 'customer enjoyed']",
6,6,sanika khot,"The food here is fantastic they serveauthentic Malvani cuisine.
Must try are their thaalis and prawns fry.",POSITIVE,The food here is fantastic.,They serve authentic Malvani cuisine.,Must try are their thaalis and prawns fry.,"['food fantastic', 'authentic malvani cuisine', 'serve authentic malvani', 'authentic malvani', 'serve authentic']",
7,7,Reshma Lokhande,"We ordered three different types of thali. Ravas thali, Surmai thali and bheja fry thali. The taste was authentic and good.. Fish lovers must visit this hotel...",POSITIVE,The hotel offers three types of thali.,The taste is authentic and good.,Fish lovers must visit this hotel.,"['offers types thali', 'hotel offers types', 'hotel offers', 'offers types', 'taste authentic good']",
8,8,Shriraj Agashe,"One of the best Seafood family restaurant in Thane, enjoy with best of  liquor brands.",POSITIVE,The Seafood family restaurant in Thane is one of the best.,The restaurant offers the best liquor brands.,The customers can enjoy the best of both worlds.,"['restaurant thane best', 'thane best', 'best liquor brands', 'offers best liquor', 'best liquor']",
9,9,Ketan Kolamkar,"Food quality: Good
Price: Reasonable
Service: Slow
Ambience: Could be better
Hygiene: Needs improvement",NEUTRAL,The customer found the food quality to be good.,The price was reasonable for the customer.,The customer experienced slow service.,,
10,10,Hemant Das,Good restaurant,POSITIVE,The restaurant is good.,,,['restaurant good'],
11,11,sergio d'souza,"No fresh fish on Monday and Tuesday, we as a  family visited, no major fish dishes like bombil, teesra ect. Solkadi was not upto the mark. Standard has gone down, compared to our last visit",NEGATIVE,The customer was disappointed with the lack of fresh fish on Monday and Tuesday.,The customer did not find the Solkadi to be up to the mark.,The customer noticed a decline in the restaurant's standards compared to their last visit.,,"['customer disappointed lack', 'customer disappointed', 'disappointed lack fresh', 'disappointed lack']"
12,12,Rajesh Wagh,"Food is ok but service not good, staff not giving attention on single customer.again dispointed today, no taste, waste of money",NEGATIVE,The customer is disappointed with the service.,The staff does not give attention to a single customer.,The food has no taste and is a waste of money.,,"['customer disappointed service', 'customer disappointed', 'disappointed service', 'attention single customer', 'single customer']"
13,13,Priyanka Thakkar,I have been coming here since my childhood and last year's I wasn't in Thane yesterday I visited this place after years food has become average but when it comes to service is pathetic waiters act as if they are serving u for free they won't talk in hindi and keep talking to u in Marathi and if feels like some unsafe place where they might attact u if u say anything to them these waiters are goons ( gunda) specially one who takes the order they act if the food is free and they are helping poor people . Anyone who is reading this and if u don't know marathi do not visit this place it's scary and can be harmful for ur family this is not a family place if u are maharashtrian it's ok I can speak marathi but I am not a maharashtrian still I felt unsafe just don't go this is the first time in hundreds of my review I wil review a place unsafe very bad if I see other reviews the owner or the guy replying on behave or restaurant is very rude check all the reviews where people have rated them low see how he replies to customer this is what I am talking about it's not safe,NEGATIVE,The customer was not impressed with the food.,"The service was pathetic, with waiters acting like they were serving for free.",The customer felt unsafe due to the waiters' behavior.,,"['service pathetic waiters', 'pathetic waiters', 'pathetic waiters acting', 'service pathetic']"
14,14,YOGESH WALANKAR,I ordered chicken vade. Chicken was with very thin gravy. Vade were tasteless. I am not going to visit this again,NEGATIVE,The customer ordered chicken vade.,The gravy was very thin and unsatisfying.,The vade lacked flavor and were tasteless.,,"['ordered chicken vade', 'customer ordered chicken', 'chicken vade', 'ordered chicken', 'lacked flavor tasteless']"
15,15,Atul Patil,Awesome,POSITIVE,The reviewer praises the product with a single word: Awesome.,The customer is thrilled with the product's performance.,"The reviewer's enthusiasm is evident in their brief, yet powerful, review.","['single word awesome', 'word awesome', 'thrilled product performance', 'customer thrilled product', 'customer thrilled']",
16,16,Ravi Ahuja,Ambience ok but food is good especially if you like seafood. Thalis are amazing. Prawns Rice was also nice though very oily inspite of telling the waiter clearly to put less oil for us. Surmai Fry and Pomfret are good too. Must try once atleast if you are in Thane.,POSITIVE,"The ambience is okay, but the food is good.","Thalis are amazing, especially if you like seafood.",Surmai Fry and Pomfret are good too.,"['ambience okay food', 'ambience okay', 'food good', 'okay food good', 'okay food']",
17,17,Madhura Khadpe,Nice restaurant,POSITIVE,The restaurant is nice.,,,['restaurant nice'],
18,18,Swaps G,"The taste here, I know, is amazing but the wait times are too much at peak. 45 mins of queue to just to enter and another 15 mins just to place the order. It's already been more than an hour and I am still not sure how long it will be before food is served.",NEGATIVE,The wait times are too much at peak.,The queue is 45 minutes long to enter.,Food service takes over an hour.,,"['minutes long enter', '45 minutes long', 'long enter', 'minutes long']"
19,19,Arnav Haldar,Bombil fry must try!,POSITIVE,The Bombil fry is a must-try.,,,,
20,20,jaykaran nishad,Awesome service,POSITIVE,The service is awesome.,,,['service awesome'],
21,21,Nitin Dalvi,"Mouth watering taste..real seafood cuisine... astonishing.....
thank",POSITIVE,The seafood cuisine is mouth watering.,The taste is astonishing.,The real seafood is a highlight.,"['taste astonishing', 'real seafood highlight', 'real seafood']",
22,22,Rohan Hire,"I am a great fan of this restaurant, actually. But whenever I take a parcel from this hotel, they always have me stale fish. It has happened three times now. I hope the owner will change this policy.",NEUTRAL,The customer is a great fan of this restaurant.,The parcel from this hotel always has stale fish.,The customer hopes the owner will change this policy.,,
23,23,siddhant kabra,"I recently had the pleasure of dining at here, and I must say, the food quality and taste are absolutely amazing. Every dish was flavorful and well-prepared, leaving a lasting impression. The service also deserves a special mention for being attentive and efficient, enhancing the overall dining experience.

While the restaurant may not boast a premium ambiance or luxurious seating, it certainly does not disappoint when it comes to the quality and taste of its food. The focus here is clearly on delivering exceptional culinary delights.

One downside to note is the parking situation. Finding a spot can be quite challenging, especially during weekends and holidays. Planning ahead or considering alternative transportation might be a good idea if you're visiting during peak times.

Overall, it's a fantastic place for food lovers who prioritize taste and quality over upscale decor. Highly recommended!",POSITIVE,The food quality and taste are absolutely amazing.,"Every dish was flavorful and well-prepared, leaving a lasting impression.",The service also deserves a special mention for being attentive and efficient.,"['quality taste absolutely', 'taste absolutely amazing', 'taste absolutely', 'absolutely amazing', 'service deserves special']",
24,24,Anish Kanse,Been visiting since 2003. Best malvani food in thane,POSITIVE,The customer has been visiting since 2003.,The malvani food is the best in Thane.,,"['malvani food best', 'food best thane', 'best thane', 'food best']",
25,25,Rohan M,"Food is excellent. But the washrooms were dirty, washbasin was dirty.. no water in the washroom.",NEGATIVE,The customer was disappointed with the washrooms.,"The washbasin was dirty, and there was no water.",The washrooms were not clean.,,"['customer disappointed washrooms', 'disappointed washrooms', 'customer disappointed', 'washbasin dirty water', 'washbasin dirty']"
26,26,Mayuri Shetty,"Food is - Good, tasty ,fresh food.
Yummy prawns chutney..",POSITIVE,"The customer enjoys good, tasty food.",The prawns are fresh and delicious.,The chutney is also a highlight.,"['customer enjoys good', 'good tasty food', 'enjoys good tasty', 'good tasty', 'enjoys good']",
27,27,Hari Gopal,"Very good food, also very past service.

Tasty food you can go with your family try once you will enjoy the food...",POSITIVE,The customer enjoys very good food.,The service is very pleasant.,The customer can enjoy the food with family.,"['customer enjoys good', 'enjoys good food', 'good food', 'enjoys good', 'service pleasant']",
28,28,Technical Guru abdul kalamchannel,Good,POSITIVE,The reviewer praises the product.,The product is good.,The reviewer is satisfied.,"['product good', 'reviewer satisfied']",
29,29,Om Adawde,Best food,POSITIVE,The food is the best.,,,['food best'],
30,30,Shrutika Malpekar,Lovely food,POSITIVE,The food is lovely.,,,['food lovely'],
31,31,Md Imran Alam,Good,POSITIVE,The reviewer praises the product.,The product is good.,The reviewer is satisfied.,"['product good', 'reviewer satisfied']",
32,32,sandy K,"One of the oldest restaurants in Thane famous for seafood .....bombil fry, surmai, pomfret,bangda....sol kadi,aamti, etc plus it has a bar so you can always chill out with a beer or drinks of your choice...good for families..they also have a special room for 8-10 persons for a small party ... recommended...",POSITIVE,The restaurant is famous for seafood dishes like bombil fry.,"The bar offers a variety of drinks, including beer.",The restaurant is suitable for families and small parties.,"['restaurant famous seafood', 'famous seafood dishes', 'restaurant famous', 'famous seafood', 'bar offers variety']",
33,33,Suyash Pradhan,"The restaurant is located in prime areas of Panchpakhadi. The food had authentic Malvani Taste. Have been here many times.

Surmai thali, mutton liver sukha, bheja sukha, pomfret thali, prawns fry, vade, kolambi bhaat and bombil fry are must try here.",POSITIVE,No match found,,,,
34,34,Lavesh Chhapru,Very nice authentic non veg super tasty,POSITIVE,The restaurant serves very nice non-veg dishes.,The food is super tasty and authentic.,The restaurant offers a variety of non-veg options.,"['restaurant serves nice', 'nice non veg', 'serves nice non', 'serves nice', 'nice non']",
35,35,Sanjay Rohra,Must visit place for non-veg lovers.,POSITIVE,The restaurant is a must-visit place.,It is perfect for non-veg lovers.,The place is a great destination.,"['perfect non veg', 'perfect non', 'place great destination', 'great destination', 'place great']",
36,36,Santosh Gaikwad,Good one,POSITIVE,The reviewer praises the product.,The product is good.,The reviewer is satisfied.,"['product good', 'reviewer satisfied']",
37,37,Ravi Tripathi,"The service was pathetic! They couldn't manage the crowd. I waited for 45 minutes as a single diner but never got seated. I then switched to takeout and waited another 40 minutes, totaling about 1 hour and 25 minutes of waiting.

Avoid this restaurant on weekends (Saturday and Sunday) and special occasions. Otherwise, you risk getting frustrated and having your mood spoiled.

A better option is to choose an alternative restaurant.",NEGATIVE,Parsing error,"unterminated string literal (detected at line 3) (<unknown>, line 3)",,,"['detected line unknown', 'unknown line', 'line unknown line', 'line unknown']"
38,38,Ritesh wayada,"Worst experience
Food was very bad
Not even malwani
Pls don't go there",NEGATIVE,The customer had a worst experience.,"The food was very bad, according to the customer.",The customer advises against visiting the restaurant.,,"['customer worst experience', 'customer worst', 'worst experience', 'food bad according', 'food bad']"
39,39,narendra jadhav,Its worst experience it is not malavani food sarvice is poor and also miss bevihar staff nott good suggested not this restaurant its gobar,NEGATIVE,The customer had its worst experience.,The food service was poor and unsatisfactory.,The staff at Bevihar was not good.,,"['customer worst experience', 'customer worst', 'worst experience', 'food service poor', 'service poor unsatisfactory']"
40,40,Priyanka Jadhav,"Worst experience
Not even malwani food
Pls don't go there",NEGATIVE,The customer had a worst experience.,"The food, even malwani, was not good.",The customer advises against visiting the place.,,"['customer worst experience', 'customer worst', 'worst experience']"
41,41,Shrutika mumbaikar,"We ordered surmai thali, halwa thali, Prawns fry here. The fish was very tasty, quantity and quality was best. We loved the taste of the food and serving nature of staff. Overall it's awesome. Thank you hotel Malvan, you brought gavran swaad in Thane.",POSITIVE,The customer ordered surmai thali and halwa thali.,The fish was very tasty and had best quantity and quality.,The customer loved the taste of the food and staff's serving nature.,"['fish tasty best', 'tasty best quantity', 'tasty best', 'best quantity quality', 'best quantity']",
42,42,Rajendra Rao,Food was excellent. Authentic Malvani food,POSITIVE,The food was excellent.,,,['food excellent'],
43,43,Veeren Jote,Currently closed since last 2 years,NEUTRAL,The restaurant has been closed for two years.,The restaurant has been shut down for a long time.,The restaurant has been out of business for two years.,,
